term,sourceLabel,label,definition,sourceURL,sourceFile
IAU_CALLIRRHOE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_CALLISTO,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_CALYPSO,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_CARME,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_CERES,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_CHALDENE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_CHARON,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_CORDELIA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_CRESSIDA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_DAVIDA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_DEIMOS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_DESDEMONA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_DESPINA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_DIDYMOS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_DIMORPHOS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_DIONE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_DONALDJOHANSON,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_EARTH,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_EARTH,TREPS_frames,"Body-Fixed Frame","Archinal, B.A., Acton, C.H., A’Hearn, M.F. et al. Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2015.
			Celest Mech Dyn Astr 130, 22 (2018). https://doi.org/10.1007/s10569-017-9805-5","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
IAU_ELARA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_ENCELADUS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_EPIMETHEUS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_ERINOME,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_EROS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_EUROPA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_EURYBATES,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_GALATEA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_GANYMEDE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_GASPRA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_HARPALYKE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_HELENE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_HIMALIA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_HYDRA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_HYPERION,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_IAPETUS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_IDA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_IO,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_IOCASTE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_ISONOE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_ITOKAWA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_JANUS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_JULIET,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_JUPITER,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_JUPITER,CDPP_AMDA_request,"","This system is analogous to the geographic (longitude and latitude) system used at the Earth and rotates with Jupiter at the official IAU rotation period. This coordinate system should always be used with respect to the official epoch and rotation rate (as defined by the IAU)","https://groups.io/g/spase/topic/99146959","documents/CDPP_AMDA_request-2023-05.csv"
IAU_JUPITER,TREPS_frames,"Body-Fixed Frame","Archinal, B.A., Acton, C.H., A’Hearn, M.F. et al. Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2015.
			Celest Mech Dyn Astr 130, 22 (2018). https://doi.org/10.1007/s10569-017-9805-5","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
IAU_KALYKE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_LARISSA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_LEDA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_LEUCUS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_LUTETIA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_LYSITHEA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_MAGACLITE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_MARS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_MARS,TREPS_frames,"Body-Fixed Frame","Archinal, B.A., Acton, C.H., A’Hearn, M.F. et al. Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2015.
			Celest Mech Dyn Astr 130, 22 (2018). https://doi.org/10.1007/s10569-017-9805-5","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
IAU_MENOETIUS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_MERCURY,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_MERCURY,TREPS_frames,"Body-Fixed Frame","Archinal, B.A., Acton, C.H., A’Hearn, M.F. et al. Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2015.
			Celest Mech Dyn Astr 130, 22 (2018). https://doi.org/10.1007/s10569-017-9805-5","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
IAU_METIS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_MIMAS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_MIRANDA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_MOON,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_MOON,TREPS_frames,"Body-Fixed Frame","Archinal, B.A., Acton, C.H., A’Hearn, M.F. et al. Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2015.
			Celest Mech Dyn Astr 130, 22 (2018). https://doi.org/10.1007/s10569-017-9805-5","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
IAU_NAIAD,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_NEPTUNE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_NEPTUNE,TREPS_frames,"Body-Fixed Frame","Archinal, B.A., Acton, C.H., A’Hearn, M.F. et al. Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2015.
			Celest Mech Dyn Astr 130, 22 (2018). https://doi.org/10.1007/s10569-017-9805-5","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
IAU_NEREID,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_NIX,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_OBERON,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_OPHELIA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_ORUS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PALLAS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PAN,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
